 i1 j1 k1 i2 j2 k2   <i1j1k1|H|i2j2k2> 
  0  1  0  0  9  0     0.00000000
  0  2  0  0  9  0     0.00000000
  0  3  0  0  9  0     0.00000000
  0  4  0  0  9  0     0.00000000
  0  5  0  0  9  0    -0.00000001
  0  6  0  0  9  0     0.00000002
  0  7  0  0  9  0    -0.00000005
  0  0  0  0 10  0     0.00000000
  1  0  0  0 10  0     0.00000008
  2  0  0  0 10  0    -0.00000016
  3  0  0  0 10  0     0.00000000
  4  0  0  0 10  0     0.00000001
  5  0  0  0 10  0     0.00000000
  6  0  0  0 10  0     0.00000000
  7  0  0  0 10  0     0.00000000
  8  0  0  0 10  0     0.00000000
  9  0  0  0 10  0     0.00000000
 10  0  0  0 10  0     0.00000000
  0  1  0  0 10  0     0.00000000
  0  2  0  0 10  0     0.00000000
  0  3  0  0 10  0     0.00000000
  0  4  0  0 10  0     0.00000000
  0  5  0  0 10  0     0.00000000
  0  6  0  0 10  0     0.00000001
  0  7  0  0 10  0    -0.00000003
  0  8  0  0 10  0    -0.00000006
  0  0  0  0  0  2     0.00000000
  1  0  0  0  0  2     0.00028237
  2  0  0  0  0  2    -0.00031996
  3  0  0  0  0  2     0.00000450
  4  0  0  0  0  2     0.00001173
  5  0  0  0  0  2     0.00000102
  6  0  0  0  0  2     0.00000078
  7  0  0  0  0  2     0.00000015
  8  0  0  0  0  2    -0.00000009
  9  0  0  0  0  2     0.00000006
 10  0  0  0  0  2    -0.00000003
  0  1  0  0  0  2    -0.00199257
  0  2  0  0  0  2     0.00056158
  0  3  0  0  0  2     0.00016952
  0  4  0  0  0  2    -0.00005496
  0  5  0  0  0  2    -0.00001894
  0  6  0  0  0  2     0.00000686
  0  7  0  0  0  2    -0.00000260
  0  8  0  0  0  2    -0.00000102
  0  9  0  0  0  2     0.00000042
  0 10  0  0  0  2     0.00000019
  0  0  0  0  0  4     0.00000000
  1  0  0  0  0  4     0.00001318
  2  0  0  0  0  4    -0.00001524
  3  0  0  0  0  4    -0.00000015
  4  0  0  0  0  4     0.00000079
  5  0  0  0  0  4    -0.00000001
  6  0  0  0  0  4     0.00000004
  7  0  0  0  0  4    -0.00000003
  8  0  0  0  0  4    -0.00000001
  9  0  0  0  0  4    -0.00000001
 10  0  0  0  0  4    -0.00000001
  0  1  0  0  0  4    -0.00007856
  0  2  0  0  0  4     0.00002333
  0  3  0  0  0  4     0.00000717
  0  4  0  0  0  4    -0.00000225
  0  5  0  0  0  4    -0.00000072
  0  6  0  0  0  4     0.00000024
  0  7  0  0  0  4    -0.00000008
  0  8  0  0  0  4    -0.00000003
  0  9  0  0  0  4     0.00000001
  0 10  0  0  0  4     0.00000000
  0  0  2  0  0  4     0.00000000
  0  0  0  0  0  6     0.00000000
  1  0  0  0  0  6     0.00000072
  2  0  0  0  0  6    -0.00000081
  3  0  0  0  0  6    -0.00000002
  4  0  0  0  0  6     0.00000005
  5  0  0  0  0  6     0.00000000
  6  0  0  0  0  6     0.00000000
  7  0  0  0  0  6     0.00000000
  8  0  0  0  0  6     0.00000000
  9  0  0  0  0  6     0.00000000
 10  0  0  0  0  6     0.00000000
  0  1  0  0  0  6    -0.00000363
  0  2  0  0  0  6     0.00000104
  0  3  0  0  0  6     0.00000029
  0  4  0  0  0  6    -0.00000008
  0  5  0  0  0  6    -0.00000002
  0  6  0  0  0  6     0.00000001
  0  7  0  0  0  6     0.00000000
  0  8  0  0  0  6     0.00000000
  0  9  0  0  0  6     0.00000000
  0 10  0  0  0  6     0.00000000
  0  0  2  0  0  6     0.00000000
  0  0  4  0  0  6     0.00000000
  0  0  0  0  0  8     0.00000000
  1  0  0  0  0  8     0.00000005
  2  0  0  0  0  8    -0.00000005
  3  0  0  0  0  8     0.00000000
  4  0  0  0  0  8     0.00000000
  5  0  0  0  0  8     0.00000000
  6  0  0  0  0  8     0.00000000
  7  0  0  0  0  8     0.00000000
  8  0  0  0  0  8     0.00000000
  9  0  0  0  0  8     0.00000000
 10  0  0  0  0  8     0.00000000
  0  1  0  0  0  8    -0.00000019
  0  2  0  0  0  8     0.00000005
  0  3  0  0  0  8     0.00000001
  0  4  0  0  0  8     0.00000000
  0  5  0  0  0  8     0.00000000
  0  6  0  0  0  8     0.00000000
  0  7  0  0  0  8     0.00000000
  0  8  0  0  0  8     0.00000000
  0  9  0  0  0  8     0.00000000
  0 10  0  0  0  8     0.00000000
  0  0  2  0  0  8     0.00000000
  0  0  4  0  0  8     0.00000000
  0  0  6  0  0  8     0.00000000
  0  0  0  0  0 10     0.00000000
  1  0  0  0  0 10     0.00000000
  2  0  0  0  0 10     0.00000000
  3  0  0  0  0 10     0.00000000
  4  0  0  0  0 10     0.00000000
  5  0  0  0  0 10     0.00000000
  6  0  0  0  0 10     0.00000000
