 i1 j1 k1 i2 j2 k2   <i1j1k1|H|i2j2k2> 
  0  7  0  6  4  0     0.00000069
  0  8  0  6  4  0     0.00000034
  0  9  0  6  4  0    -0.00000015
  0 10  0  6  4  0    -0.00000003
  0  0  2  6  4  0     0.00000002
  0  0  4  6  4  0     0.00000000
  0  0  6  6  4  0     0.00000000
  0  0  8  6  4  0     0.00000000
  0  0 10  6  4  0     0.00000000
  1  1  0  6  4  0     0.00000153
  2  1  0  6  4  0    -0.00002886
  3  1  0  6  4  0     0.00000555
  4  1  0  6  4  0     0.00043299
  5  1  0  6  4  0    -0.00015530
  6  1  0  6  4  0    -0.00098852
  7  1  0  6  4  0     0.00020622
  8  1  0  6  4  0    -0.00045139
  9  1  0  6  4  0     0.00026398
  1  2  0  6  4  0    -0.00000342
  2  2  0  6  4  0     0.00008659
  3  2  0  6  4  0    -0.00004680
  4  2  0  6  4  0    -0.00137006
  5  2  0  6  4  0     0.00078256
  6  2  0  6  4  0     0.00319694
  7  2  0  6  4  0    -0.00101649
  8  2  0  6  4  0     0.00156606
  1  3  0  6  4  0    -0.00000223
  2  3  0  6  4  0     0.00016146
  3  3  0  6  4  0    -0.00025822
  4  3  0  6  4  0    -0.00189985
  1  4  0  6  4  0     0.00000679
  2  4  0  6  4  0    -0.00006171
  3  4  0  6  4  0    -0.00013507
  4  4  0  6  4  0     0.00151027
  0  0  0  1  5  0    -0.00000546
  1  0  0  1  5  0     0.00001366
  2  0  0  1  5  0    -0.00000431
  3  0  0  1  5  0     0.00001663
  4  0  0  1  5  0     0.00000025
  5  0  0  1  5  0     0.00000146
  6  0  0  1  5  0    -0.00000014
  7  0  0  1  5  0     0.00000007
  8  0  0  1  5  0     0.00000003
  9  0  0  1  5  0     0.00000006
 10  0  0  1  5  0    -0.00000004
  0  1  0  1  5  0     0.00002904
  0  2  0  1  5  0    -0.00009053
  0  3  0  1  5  0    -0.00013605
  0  7  0  1  5  0     0.00016221
  0  8  0  1  5  0     0.00017117
  0  9  0  1  5  0    -0.00011259
  0 10  0  1  5  0    -0.00007224
  0  0  2  1  5  0    -0.00000097
  0  0  4  1  5  0    -0.00000006
  0  0  6  1  5  0     0.00000000
  0  0  8  1  5  0     0.00000000
  0  0 10  1  5  0     0.00000000
  1  1  0  1  5  0    -0.00007647
  2  1  0  1  5  0     0.00002199
  3  1  0  1  5  0    -0.00009327
  4  1  0  1  5  0    -0.00000169
  5  1  0  1  5  0    -0.00000761
  6  1  0  1  5  0     0.00000073
  7  1  0  1  5  0    -0.00000038
  8  1  0  1  5  0    -0.00000010
  9  1  0  1  5  0    -0.00000006
  1  2  0  1  5  0     0.00028023
  2  2  0  1  5  0    -0.00005650
  3  2  0  1  5  0     0.00034124
  4  2  0  1  5  0     0.00000868
  5  2  0  1  5  0     0.00002608
  6  2  0  1  5  0    -0.00000228
  7  2  0  1  5  0     0.00000120
  8  2  0  1  5  0     0.00000027
  1  3  0  1  5  0     0.00071870
  2  3  0  1  5  0     0.00000553
  3  3  0  1  5  0     0.00086382
  4  3  0  1  5  0     0.00003979
  5  3  0  1  5  0     0.00006428
  6  3  0  1  5  0    -0.00000417
  7  3  0  1  5  0     0.00000330
  3  4  0  1  5  0    -0.00104377
  4  4  0  1  5  0    -0.00015432
  5  4  0  1  5  0    -0.00010712
  6  4  0  1  5  0     0.00000266
  0  0  0  2  5  0     0.00001017
  1  0  0  2  5  0    -0.00000431
  2  0  0  2  5  0     0.00002662
  3  0  0  2  5  0    -0.00000184
  4  0  0  2  5  0     0.00002205
  5  0  0  2  5  0    -0.00000018
  6  0  0  2  5  0     0.00000242
  7  0  0  2  5  0     0.00000026
  8  0  0  2  5  0     0.00000000
  9  0  0  2  5  0     0.00000035
 10  0  0  2  5  0    -0.00000021
  0  1  0  2  5  0    -0.00005678
  0  2  0  2  5  0     0.00020639
  0  3  0  2  5  0     0.00051910
  0  4  0  2  5  0    -0.00062942
  0  5  0  2  5  0    -0.00057378
  0  6  0  2  5  0     0.00065337
  0  7  0  2  5  0    -0.00067793
  0  8  0  2  5  0    -0.00041641
  0  9  0  2  5  0     0.00022979
  0 10  0  2  5  0     0.00013821
  0  0  2  2  5  0     0.00000135
  0  0  4  2  5  0     0.00000008
  0  0  6  2  5  0     0.00000000
  0  0  8  2  5  0     0.00000000
  0  0 10  2  5  0     0.00000000
  1  1  0  2  5  0     0.00002201
  2  1  0  2  5  0    -0.00014958
  3  1  0  2  5  0     0.00000727
  4  1  0  2  5  0    -0.00012460
  5  1  0  2  5  0     0.00000153
  6  1  0  2  5  0    -0.00001260
  7  1  0  2  5  0    -0.00000136
  8  1  0  2  5  0     0.00000054
  9  1  0  2  5  0    -0.00000070
  1  2  0  2  5  0    -0.00005659
  2  2  0  2  5  0     0.00055099
  3  2  0  2  5  0     0.00000580
  4  2  0  2  5  0     0.00045883
  5  2  0  2  5  0    -0.00000969
  6  2  0  2  5  0     0.00004341
  7  2  0  2  5  0     0.00000428
  8  2  0  2  5  0    -0.00000226
  1  3  0  2  5  0     0.00000523
  2  3  0  2  5  0     0.00142115
  3  3  0  2  5  0     0.00021709
  4  3  0  2  5  0     0.00116923
  5  3  0  2  5  0    -0.00005173
  6  3  0  2  5  0     0.00010697
  7  3  0  2  5  0     0.00000830
  4  4  0  2  5  0    -0.00140679
  5  4  0  2  5  0     0.00021988
  6  4  0  2  5  0    -0.00017656
  0  0  0  3  5  0     0.00000023
  1  0  0  3  5  0     0.00001663
  2  0  0  3  5  0    -0.00000185
  3  0  0  3  5  0     0.00003866
  4  0  0  3  5  0     0.00000115
  5  0  0  3  5  0    -0.00002660
  6  0  0  3  5  0     0.00000001
  7  0  0  3  5  0    -0.00000368
  8  0  0  3  5  0     0.00000028
  9  0  0  3  5  0     0.00000155
 10  0  0  3  5  0    -0.00000136
  0  1  0  3  5  0    -0.00000129
  0  2  0  3  5  0     0.00000583
  0  3  0  3  5  0     0.00002420
  0  4  0  3  5  0    -0.00008621
  0  5  0  3  5  0     0.00003618
  0  6  0  3  5  0     0.00009192
  0  7  0  3  5  0    -0.00003353
  0  8  0  3  5  0    -0.00001284
  0  9  0  3  5  0     0.00000547
  0 10  0  3  5  0     0.00000293
  0  0  2  3  5  0     0.00000000
  0  0  4  3  5  0     0.00000000
  0  0  6  3  5  0     0.00000000
  0  0  8  3  5  0     0.00000000
  0  0 10  3  5  0     0.00000000
  1  1  0  3  5  0    -0.00009328
  2  1  0  3  5  0     0.00000730
  3  1  0  3  5  0    -0.00021837
  4  1  0  3  5  0    -0.00001059
  5  1  0  3  5  0     0.00015146
  6  1  0  3  5  0     0.00000083
  7  1  0  3  5  0     0.00001851
  8  1  0  3  5  0     0.00000156
  9  1  0  3  5  0    -0.00000157
  1  2  0  3  5  0     0.00034124
  2  2  0  3  5  0     0.00000569
  3  2  0  3  5  0     0.00080857
  4  2  0  3  5  0     0.00008027
  5  2  0  3  5  0    -0.00056144
  6  2  0  3  5  0    -0.00000890
  7  2  0  3  5  0    -0.00006351
  8  2  0  3  5  0    -0.00000762
  1  3  0  3  5  0     0.00086384
  2  3  0  3  5  0     0.00021672
  3  3  0  3  5  0     0.00209717
  4  3  0  3  5  0     0.00046094
  5  3  0  3  5  0    -0.00144052
  6  3  0  3  5  0    -0.00005997
  7  3  0  3  5  0    -0.00015643
  1  4  0  3  5  0    -0.00104381
  5  4  0  3  5  0     0.00172378
  6  4  0  3  5  0     0.00028127
  1  5  0  3  5  0    -0.00095414
  0  0  0  4  5  0    -0.00000068
  1  0  0  4  5  0     0.00000025
  2  0  0  4  5  0     0.00002205
  3  0  0  4  5  0     0.00000114
  4  0  0  4  5  0     0.00004971
  5  0  0  4  5  0    -0.00000426
  6  0  0  4  5  0    -0.00003016
  7  0  0  4  5  0    -0.00000125
  8  0  0  4  5  0     0.00000872
  9  0  0  4  5  0     0.00000677
 10  0  0  4  5  0    -0.00000562
  0  1  0  4  5  0     0.00000355
  0  2  0  4  5  0    -0.00001210
  0  3  0  4  5  0    -0.00002987
  0  4  0  4  5  0     0.00005048
  0  5  0  4  5  0     0.00001948
  0  6  0  4  5  0    -0.00005403
  0  7  0  4  5  0     0.00003968
  0  8  0  4  5  0     0.00002436
  0  9  0  4  5  0    -0.00001411
  0 10  0  4  5  0    -0.00000891
  0  0  2  4  5  0    -0.00000009
  0  0  4  4  5  0    -0.00000001
  0  0  6  4  5  0     0.00000000
  0  0  8  4  5  0     0.00000000
  0  0 10  4  5  0     0.00000000
  1  1  0  4  5  0    -0.00000169
  2  1  0  4  5  0    -0.00012460
  3  1  0  4  5  0    -0.00001056
  4  1  0  4  5  0    -0.00028236
  5  1  0  4  5  0     0.00002954
  6  1  0  4  5  0     0.00017402
  7  1  0  4  5  0     0.00000192
  8  1  0  4  5  0    -0.00002936
  9  1  0  4  5  0    -0.00000305
  1  2  0  4  5  0     0.00000868
  2  2  0  4  5  0     0.00045884
  3  2  0  4  5  0     0.00008014
  4  2  0  4  5  0     0.00105077
  5  2  0  4  5  0    -0.00015947
  6  2  0  4  5  0    -0.00065013
  7  2  0  4  5  0     0.00000417
  8  2  0  4  5  0     0.00008658
  1  3  0  4  5  0     0.00003979
  2  3  0  4  5  0     0.00116926
  3  3  0  4  5  0     0.00046052
  4  3  0  4  5  0     0.00274049
  5  3  0  4  5  0    -0.00071926
  6  3  0  4  5  0    -0.00168017
  7  3  0  4  5  0     0.00006076
  1  4  0  4  5  0    -0.00015432
  2  4  0  4  5  0    -0.00140684
  6  4  0  4  5  0     0.00199699
  1  5  0  4  5  0     0.00007359
  2  5  0  4  5  0    -0.00129139
  0  0  0  5  5  0    -0.00000005
  1  0  0  5  5  0     0.00000146
  2  0  0  5  5  0    -0.00000018
  3  0  0  5  5  0    -0.00002660
  4  0  0  5  5  0    -0.00000425
  5  0  0  5  5  0     0.00005955
  6  0  0  5  5  0     0.00000653
  7  0  0  5  5  0    -0.00002926
  8  0  0  5  5  0    -0.00001961
  9  0  0  5  5  0    -0.00004022
 10  0  0  5  5  0     0.00001980
  0  1  0  5  5  0     0.00000029
  0  2  0  5  5  0    -0.00000096
  0  3  0  5  5  0    -0.00000160
  0  4  0  5  5  0     0.00000090
  0  5  0  5  5  0     0.00000341
  0  6  0  5  5  0    -0.00000109
  0  7  0  5  5  0     0.00000202
  0  8  0  5  5  0     0.00000178
  0  9  0  5  5  0    -0.00000120
  0 10  0  5  5  0    -0.00000075
  0  0  2  5  5  0    -0.00000001
  0  0  4  5  5  0     0.00000000
  0  0  6  5  5  0     0.00000000
  0  0  8  5  5  0     0.00000000
  0  0 10  5  5  0     0.00000000
  1  1  0  5  5  0    -0.00000761
  2  1  0  5  5  0     0.00000153
  3  1  0  5  5  0     0.00015147
  4  1  0  5  5  0     0.00002951
  5  1  0  5  5  0    -0.00034118
  6  1  0  5  5  0    -0.00004769
  7  1  0  5  5  0     0.00018751
  8  1  0  5  5  0     0.00003346
  9  1  0  5  5  0     0.00007525
  1  2  0  5  5  0     0.00002608
  2  2  0  5  5  0    -0.00000969
  3  2  0  5  5  0    -0.00056145
  4  2  0  5  5  0    -0.00015932
  5  2  0  5  5  0     0.00127682
  6  2  0  5  5  0     0.00023984
  7  2  0  5  5  0    -0.00072158
  8  2  0  5  5  0    -0.00004211
  1  3  0  5  5  0     0.00006428
  2  3  0  5  5  0    -0.00005173
  3  3  0  5  5  0    -0.00144055
  4  3  0  5  5  0    -0.00071880
  5  3  0  5  5  0     0.00334893
  6  3  0  5  5  0     0.00098528
  7  3  0  5  5  0    -0.00188822
  1  4  0  5  5  0    -0.00010712
  2  4  0  5  5  0     0.00021988
  3  4  0  5  5  0     0.00172385
  1  5  0  5  5  0    -0.00004357
  2  5  0  5  5  0    -0.00011754
  3  5  0  5  5  0     0.00159282
  0  0  0  1  6  0     0.00000215
  1  0  0  1  6  0    -0.00000537
  2  0  0  1  6  0     0.00000172
  3  0  0  1  6  0    -0.00000652
  4  0  0  1  6  0    -0.00000008
  5  0  0  1  6  0    -0.00000061
  6  0  0  1  6  0     0.00000006
  7  0  0  1  6  0    -0.00000002
  8  0  0  1  6  0    -0.00000002
  9  0  0  1  6  0    -0.00000005
 10  0  0  1  6  0     0.00000004
  0  1  0  1  6  0    -0.00001260
  0  2  0  1  6  0     0.00004717
  0  3  0  1  6  0     0.00011909
  0  4  0  1  6  0    -0.00015143
  0  8  0  1  6  0    -0.00016991
  0  9  0  1  6  0     0.00019460
  0 10  0  1  6  0     0.00015552
  0  0  2  1  6  0     0.00000037
  0  0  4  1  6  0     0.00000002
  0  0  6  1  6  0     0.00000000
  0  0  8  1  6  0     0.00000000
  0  0 10  1  6  0     0.00000000
  1  1  0  1  6  0     0.00003169
  2  1  0  1  6  0    -0.00000994
  3  1  0  1  6  0     0.00003857
  4  1  0  1  6  0     0.00000059
  5  1  0  1  6  0     0.00000337
  6  1  0  1  6  0    -0.00000033
  7  1  0  1  6  0     0.00000017
  8  1  0  1  6  0     0.00000004
  9  1  0  1  6  0     0.00000007
  1  2  0  1  6  0    -0.00012549
  2  2  0  1  6  0     0.00003541
  3  2  0  1  6  0    -0.00015308
  4  2  0  1  6  0    -0.00000281
  5  2  0  1  6  0    -0.00001245
  6  2  0  1  6  0     0.00000120
  7  2  0  1  6  0    -0.00000060
  8  2  0  1  6  0    -0.00000013
  1  3  0  1  6  0    -0.00037640
  2  3  0  1  6  0     0.00007199
  3  3  0  1  6  0    -0.00045802
  4  3  0  1  6  0    -0.00001203
  5  3  0  1  6  0    -0.00003505
  6  3  0  1  6  0     0.00000303
  7  3  0  1  6  0    -0.00000161
  1  4  0  1  6  0     0.00083697
  2  4  0  1  6  0     0.00001766
  3  4  0  1  6  0     0.00100455
  4  4  0  1  6  0     0.00004777
  5  4  0  1  6  0     0.00007537
  6  4  0  1  6  0    -0.00000484
  3  5  0  1  6  0     0.00108124
  4  5  0  1  6  0     0.00016461
  5  5  0  1  6  0     0.00011475
  0  0  0  2  6  0    -0.00000400
  1  0  0  2  6  0     0.00000172
  2  0  0  2  6  0    -0.00001044
  3  0  0  2  6  0     0.00000077
  4  0  0  2  6  0    -0.00000859
  5  0  0  2  6  0     0.00000005
  6  0  0  2  6  0    -0.00000102
  7  0  0  2  6  0    -0.00000011
  8  0  0  2  6  0    -0.00000007
  9  0  0  2  6  0    -0.00000028
 10  0  0  2  6  0     0.00000018
  0  1  0  2  6  0     0.00002359
  0  2  0  2  6  0    -0.00009313
  0  3  0  2  6  0    -0.00027695
  0  4  0  2  6  0     0.00060378
  0  5  0  2  6  0     0.00065340
  0  6  0  2  6  0    -0.00067663
  0  7  0  2  6  0     0.00066779
  0  8  0  2  6  0     0.00074280
  0  9  0  2  6  0    -0.00048479
  0 10  0  2  6  0    -0.00031932
  0  0  2  2  6  0    -0.00000053
  0  0  4  2  6  0    -0.00000003
  0  0  6  2  6  0     0.00000000
  0  0  8  2  6  0     0.00000000
  0  0 10  2  6  0     0.00000000
  1  1  0  2  6  0    -0.00000995
  2  1  0  2  6  0     0.00006175
  3  1  0  2  6  0    -0.00000420
  4  1  0  2  6  0     0.00005118
  5  1  0  2  6  0    -0.00000044
  6  1  0  2  6  0     0.00000558
  7  1  0  2  6  0     0.00000064
  8  1  0  2  6  0    -0.00000017
  9  1  0  2  6  0     0.00000048
  1  2  0  2  6  0     0.00003545
  2  2  0  2  6  0    -0.00024558
  3  2  0  2  6  0     0.00001105
  4  2  0  2  6  0    -0.00020453
  5  2  0  2  6  0     0.00000260
  6  2  0  2  6  0    -0.00002063
  7  2  0  2  6  0    -0.00000229
  8  2  0  2  6  0     0.00000109
  1  3  0  2  6  0     0.00007212
  2  3  0  2  6  0    -0.00074026
  3  3  0  2  6  0    -0.00001293
  4  3  0  2  6  0    -0.00061590
  5  3  0  2  6  0     0.00001359
  6  3  0  2  6  0    -0.00005836
  7  3  0  2  6  0    -0.00000578
  1  4  0  2  6  0     0.00001731
  2  4  0  2  6  0     0.00165490
  3  4  0  2  6  0     0.00026787
  4  4  0  2  6  0     0.00135937
  5  4  0  2  6  0    -0.00006237
  6  4  0  2  6  0     0.00012532
  4  5  0  2  6  0     0.00145373
  5  5  0  2  6  0    -0.00023451
  0  0  0  3  6  0    -0.00000008
  1  0  0  3  6  0    -0.00000652
  2  0  0  3  6  0     0.00000078
  3  0  0  3  6  0    -0.00001509
  4  0  0  3  6  0    -0.00000036
  5  0  0  3  6  0     0.00001027
  6  0  0  3  6  0    -0.00000005
  7  0  0  3  6  0     0.00000163
  8  0  0  3  6  0    -0.00000048
  9  0  0  3  6  0    -0.00000142
 10  0  0  3  6  0     0.00000109
  0  1  0  3  6  0     0.00000052
  0  2  0  3  6  0    -0.00000213
  0  3  0  3  6  0    -0.00000805
  0  4  0  3  6  0     0.00002900
  0  5  0  3  6  0     0.00009192
  0  6  0  3  6  0     0.00004293
  0  7  0  3  6  0     0.00009657
  0  8  0  3  6  0     0.00003781
  0  9  0  3  6  0    -0.00001535
  0 10  0  3  6  0    -0.00000772
  0  0  2  3  6  0     0.00000000
  0  0  4  3  6  0     0.00000000
  0  0  6  3  6  0     0.00000000
  0  0  8  3  6  0     0.00000000
  0  0 10  3  6  0     0.00000000
  1  1  0  3  6  0     0.00003857
  2  1  0  3  6  0    -0.00000421
  3  1  0  3  6  0     0.00008972
  4  1  0  3  6  0     0.00000277
  5  1  0  3  6  0    -0.00006179
  6  1  0  3  6  0    -0.00000005
  7  1  0  3  6  0    -0.00000825
  8  1  0  3  6  0    -0.00000031
  9  1  0  3  6  0     0.00000167
  1  2  0  3  6  0    -0.00015308
  2  2  0  3  6  0     0.00001109
  3  2  0  3  6  0    -0.00035860
  4  2  0  3  6  0    -0.00001852
  5  2  0  3  6  0     0.00024869
  6  2  0  3  6  0     0.00000157
  7  2  0  3  6  0     0.00003005
  8  2  0  3  6  0     0.00000379
  1  3  0  3  6  0    -0.00045803
  2  3  0  3  6  0    -0.00001277
  3  3  0  3  6  0    -0.00108642
  4  3  0  3  6  0    -0.00011416
  5  3  0  3  6  0     0.00075368
  6  3  0  3  6  0     0.00001283
  7  3  0  3  6  0     0.00008509
  1  4  0  3  6  0     0.00100457
  2  4  0  3  6  0     0.00026744
  3  4  0  3  6  0     0.00244179
  4  4  0  3  6  0     0.00055560
  5  4  0  3  6  0    -0.00167445
  6  4  0  3  6  0    -0.00007284
  1  5  0  3  6  0     0.00108128
  5  5  0  3  6  0    -0.00177655
  1  6  0  3  6  0    -0.00112619
  0  0  0  4  6  0     0.00000027
  1  0  0  4  6  0    -0.00000008
  2  0  0  4  6  0    -0.00000859
  3  0  0  4  6  0    -0.00000036
  4  0  0  4  6  0    -0.00001929
  5  0  0  4  6  0     0.00000151
  6  0  0  4  6  0     0.00001145
  7  0  0  4  6  0     0.00000100
  8  0  0  4  6  0    -0.00000557
  9  0  0  4  6  0    -0.00000666
 10  0  0  4  6  0     0.00000497
  0  1  0  4  6  0    -0.00000156
  0  2  0  4  6  0     0.00000578
  0  3  0  4  6  0     0.00001622
  0  4  0  4  6  0    -0.00003503
  0  5  0  4  6  0    -0.00005403
  0  6  0  4  6  0     0.00002244
  0  7  0  4  6  0    -0.00005694
  0  8  0  4  6  0    -0.00004393
  0  9  0  4  6  0     0.00002835
  0 10  0  4  6  0     0.00001970
  0  0  2  4  6  0     0.00000004
  0  0  4  4  6  0     0.00000000
  0  0  6  4  6  0     0.00000000
  0  0  8  4  6  0     0.00000000
  0  0 10  4  6  0     0.00000000
  1  1  0  4  6  0     0.00000059
  2  1  0  4  6  0     0.00005118
  3  1  0  4  6  0     0.00000276
  4  1  0  4  6  0     0.00011543
  5  1  0  4  6  0    -0.00001011
  6  1  0  4  6  0    -0.00007039
  7  1  0  4  6  0    -0.00000170
  8  1  0  4  6  0     0.00001530
  9  1  0  4  6  0     0.00000617
  1  2  0  4  6  0    -0.00000281
  2  2  0  4  6  0    -0.00020453
  3  2  0  4  6  0    -0.00001847
  4  2  0  4  6  0    -0.00046378
  5  2  0  4  6  0     0.00004996
  6  2  0  4  6  0     0.00028613
  7  2  0  4  6  0     0.00000149
  8  2  0  4  6  0    -0.00004196
  1  3  0  4  6  0    -0.00001203
  2  3  0  4  6  0    -0.00061591
  3  3  0  4  6  0    -0.00011398
  4  3  0  4  6  0    -0.00141195
  5  3  0  4  6  0     0.00022189
  6  3  0  4  6  0     0.00087315
  7  3  0  4  6  0    -0.00000811
  1  4  0  4  6  0     0.00004777
  2  4  0  4  6  0     0.00135940
  3  4  0  4  6  0     0.00055510
  4  4  0  4  6  0     0.00319051
  5  4  0  4  6  0    -0.00086031
  6  4  0  4  6  0    -0.00195297
  1  5  0  4  6  0     0.00016461
  2  5  0  4  6  0     0.00145379
  1  6  0  4  6  0     0.00008735
  2  6  0  4  6  0    -0.00152567
  0  0  0  1  7  0    -0.00000087
  1  0  0  1  7  0     0.00000220
  2  0  0  1  7  0    -0.00000070
  3  0  0  1  7  0     0.00000266
  4  0  0  1  7  0     0.00000003
  5  0  0  1  7  0     0.00000026
  6  0  0  1  7  0    -0.00000003
  7  0  0  1  7  0     0.00000000
  8  0  0  1  7  0     0.00000000
  9  0  0  1  7  0     0.00000001
 10  0  0  1  7  0    -0.00000002
  0  1  0  1  7  0     0.00000540
  0  2  0  1  7  0    -0.00002220
  0  3  0  1  7  0    -0.00006753
  0  4  0  1  7  0     0.00014623
  0  5  0  1  7  0     0.00016249
  0  9  0  1  7  0    -0.00017787
  0 10  0  1  7  0    -0.00025367
  0  0  2  1  7  0    -0.00000015
  0  0  4  1  7  0    -0.00000001
  0  0  6  1  7  0     0.00000000
  0  0  8  1  7  0     0.00000000
  0  0 10  1  7  0     0.00000000
  1  1  0  1  7  0    -0.00001345
  2  1  0  1  7  0     0.00000430
  3  1  0  1  7  0    -0.00001633
  4  1  0  1  7  0    -0.00000022
  5  1  0  1  7  0    -0.00000152
  6  1  0  1  7  0     0.00000016
  7  1  0  1  7  0    -0.00000006
  8  1  0  1  7  0     0.00000000
  9  1  0  1  7  0    -0.00000003
  1  2  0  1  7  0     0.00005607
  2  2  0  1  7  0    -0.00001748
  3  2  0  1  7  0     0.00006828
  4  2  0  1  7  0     0.00000105
  5  2  0  1  7  0     0.00000593
  6  2  0  1  7  0    -0.00000059
  7  2  0  1  7  0     0.00000029
  8  2  0  1  7  0     0.00000003
  1  3  0  1  7  0     0.00018160
  2  3  0  1  7  0    -0.00005018
  3  3  0  1  7  0     0.00022149
  4  3  0  1  7  0     0.00000415
  5  3  0  1  7  0     0.00001798
  6  3  0  1  7  0    -0.00000175
  7  3  0  1  7  0     0.00000085
  1  4  0  1  7  0    -0.00047262
  2  4  0  1  7  0     0.00008528
  3  4  0  1  7  0    -0.00057470
  4  4  0  1  7  0    -0.00001560
  5  4  0  1  7  0    -0.00004402
  6  4  0  1  7  0     0.00000376
  1  5  0  1  7  0    -0.00094092
  2  5  0  1  7  0    -0.00003230
  3  5  0  1  7  0    -0.00112765
  4  5  0  1  7  0    -0.00005536
  5  5  0  1  7  0    -0.00008539
  3  6  0  1  7  0     0.00110272
  4  6  0  1  7  0     0.00017299
  0  0  0  2  7  0     0.00000164
  1  0  0  2  7  0    -0.00000070
  2  0  0  2  7  0     0.00000427
  3  0  0  2  7  0    -0.00000032
  4  0  0  2  7  0     0.00000349
  5  0  0  2  7  0    -0.00000001
  6  0  0  2  7  0     0.00000044
  7  0  0  2  7  0     0.00000006
  8  0  0  2  7  0     0.00000002
  9  0  0  2  7  0     0.00000009
 10  0  0  2  7  0    -0.00000005
  0  1  0  2  7  0    -0.00001002
  0  2  0  2  7  0     0.00004173
  0  3  0  2  7  0     0.00013469
  0  4  0  2  7  0    -0.00034739
  0  5  0  2  7  0    -0.00067794
  0  6  0  2  7  0     0.00066782
  0  7  0  2  7  0    -0.00077651
  0  8  0  2  7  0    -0.00067557
  0  9  0  2  7  0     0.00080441
  0 10  0  2  7  0     0.00063089
  0  0  2  2  7  0     0.00000022
  0  0  4  2  7  0     0.00000001
  0  0  6  2  7  0     0.00000000
  0  0  8  2  7  0     0.00000000
  0  0 10  2  7  0     0.00000000
  1  1  0  2  7  0     0.00000430
  2  1  0  2  7  0    -0.00002615
  3  1  0  2  7  0     0.00000193
  4  1  0  2  7  0    -0.00002153
  5  1  0  2  7  0     0.00000013
  6  1  0  2  7  0    -0.00000253
  7  1  0  2  7  0    -0.00000033
  8  1  0  2  7  0     0.00000011
  9  1  0  2  7  0    -0.00000014
  1  2  0  2  7  0    -0.00001749
  2  2  0  2  7  0     0.00010934
  3  2  0  2  7  0    -0.00000726
  4  2  0  2  7  0     0.00009066
  5  2  0  2  7  0    -0.00000080
  6  2  0  2  7  0     0.00000980
  7  2  0  2  7  0     0.00000119
  8  2  0  2  7  0    -0.00000059
  1  3  0  2  7  0    -0.00005023
  2  3  0  2  7  0     0.00035551
  3  3  0  2  7  0    -0.00001456
  4  3  0  2  7  0     0.00029599
  5  3  0  2  7  0    -0.00000392
  6  3  0  2  7  0     0.00002981
  7  3  0  2  7  0     0.00000337
  1  4  0  2  7  0     0.00008544
  2  4  0  2  7  0    -0.00092975
  3  4  0  2  7  0    -0.00002298
  4  4  0  2  7  0    -0.00077285
  5  4  0  2  7  0     0.00001780
  6  4  0  2  7  0    -0.00007331
  1  5  0  2  7  0    -0.00003190
  2  5  0  2  7  0    -0.00186018
  3  5  0  2  7  0    -0.00031791
  4  5  0  2  7  0    -0.00152548
  5  5  0  2  7  0     0.00007260
  4  6  0  2  7  0     0.00147878
  0  0  0  3  7  0     0.00000003
  1  0  0  3  7  0     0.00000266
  2  0  0  3  7  0    -0.00000032
  3  0  0  3  7  0     0.00000614
  4  0  0  3  7  0     0.00000013
  5  0  0  3  7  0    -0.00000414
  6  0  0  3  7  0     0.00000003
  7  0  0  3  7  0    -0.00000069
  8  0  0  3  7  0     0.00000012
  9  0  0  3  7  0     0.00000046
 10  0  0  3  7  0    -0.00000037
  0  1  0  3  7  0    -0.00000021
  0  2  0  3  7  0     0.00000090
  0  3  0  3  7  0     0.00000310
  0  4  0  3  7  0    -0.00001040
  0  5  0  3  7  0    -0.00003353
  0  6  0  3  7  0     0.00009657
  0  7  0  3  7  0     0.00004954
  0  8  0  3  7  0    -0.00010031
  0  9  0  3  7  0     0.00004194
  0 10  0  3  7  0     0.00002009
  0  0  2  3  7  0     0.00000000
  0  0  4  3  7  0     0.00000000
  0  0  6  3  7  0     0.00000000
  0  0  8  3  7  0     0.00000000
  0  0 10  3  7  0     0.00000000
  1  1  0  3  7  0    -0.00001633
  2  1  0  3  7  0     0.00000193
  3  1  0  3  7  0    -0.00003782
  4  1  0  3  7  0    -0.00000093
  5  1  0  3  7  0     0.00002580
  6  1  0  3  7  0    -0.00000003
  7  1  0  3  7  0     0.00000368
  8  1  0  3  7  0     0.00000036
  9  1  0  3  7  0    -0.00000044
  1  2  0  3  7  0     0.00006828
  2  2  0  3  7  0    -0.00000728
  3  2  0  3  7  0     0.00015892
  4  2  0  3  7  0     0.00000515
  5  2  0  3  7  0    -0.00010954
  6  2  0  3  7  0    -0.00000023
  7  2  0  3  7  0    -0.00001413
  8  2  0  3  7  0    -0.00000221
  1  3  0  3  7  0     0.00022150
  2  3  0  3  7  0    -0.00001463
  3  3  0  3  7  0     0.00051922
  4  3  0  3  7  0     0.00002860
  5  3  0  3  7  0    -0.00035997
  6  3  0  3  7  0    -0.00000258
  7  3  0  3  7  0    -0.00004316
  1  4  0  3  7  0    -0.00057471
  2  4  0  3  7  0    -0.00002278
  3  4  0  3  7  0    -0.00136466
  4  4  0  3  7  0    -0.00015169
  5  4  0  3  7  0     0.00094585
  6  4  0  3  7  0     0.00001719
  1  5  0  3  7  0    -0.00112767
  2  5  0  3  7  0    -0.00031742
  3  5  0  3  7  0    -0.00274423
